SL NO,DATE,TRADING CODE,CLOSE PRICE,YCP*
29446,2016-04-03,PEOPLESINS,17,17
29447,2016-03-31,PEOPLESINS,17,16.9
29448,2016-03-30,PEOPLESINS,16.9,16
29449,2016-03-29,PEOPLESINS,16,15.8
29450,2016-03-28,PEOPLESINS,15.8,16.9
29451,2016-03-27,PEOPLESINS,16.9,16.8
29452,2016-03-24,PEOPLESINS,16.8,17
29453,2016-03-23,PEOPLESINS,17,17
29454,2016-03-22,PEOPLESINS,17,16.5
29455,2016-03-21,PEOPLESINS,16.5,16.5
29456,2016-03-20,PEOPLESINS,16.5,16.6
29457,2016-03-16,PEOPLESINS,16.6,16.5
29458,2016-03-15,PEOPLESINS,16.5,16.6
29459,2016-03-14,PEOPLESINS,16.6,16.9
29460,2016-03-13,PEOPLESINS,16.9,16.9
29461,2016-03-10,PEOPLESINS,16.9,16.9
29462,2016-03-09,PEOPLESINS,16.9,16.5
29463,2016-03-08,PEOPLESINS,16.5,16.5
29464,2016-03-07,PEOPLESINS,16.5,16.5
29465,2016-03-06,PEOPLESINS,16.5,17
29466,2016-03-03,PEOPLESINS,17,16.4
29467,2016-03-02,PEOPLESINS,16.4,16.7
29468,2016-03-01,PEOPLESINS,16.7,16.9
29469,2016-02-29,PEOPLESINS,16.9,16.4
29470,2016-02-28,PEOPLESINS,16.4,16.2
29471,2016-02-25,PEOPLESINS,16.2,16.9
29472,2016-02-24,PEOPLESINS,16.9,17
29473,2016-02-23,PEOPLESINS,17,16.4
29474,2016-02-22,PEOPLESINS,16.4,16.9
29475,2016-02-18,PEOPLESINS,16.9,16.9
29476,2016-02-17,PEOPLESINS,16.9,15.8
29477,2016-02-16,PEOPLESINS,15.8,16.4
29478,2016-02-15,PEOPLESINS,16.4,16.9
29479,2016-02-14,PEOPLESINS,16.9,16.3
29480,2016-02-11,PEOPLESINS,16.3,16.3
29481,2016-02-10,PEOPLESINS,16.3,17
29482,2016-02-09,PEOPLESINS,17,16.1
29483,2016-02-08,PEOPLESINS,16.1,16.4
29484,2016-02-07,PEOPLESINS,16.4,16.4
29485,2016-02-04,PEOPLESINS,16.4,16.5
29486,2016-02-03,PEOPLESINS,16.5,17.1
29487,2016-02-02,PEOPLESINS,17.1,16.5
29488,2016-02-01,PEOPLESINS,16.5,16.2
29489,2016-01-31,PEOPLESINS,16.2,16.9
29490,2016-01-28,PEOPLESINS,16.9,16.3
29491,2016-01-27,PEOPLESINS,16.3,16.5
29492,2016-01-26,PEOPLESINS,16.5,16.3
29493,2016-01-25,PEOPLESINS,16.3,16.2
29494,2016-01-24,PEOPLESINS,16.2,16.3
29495,2016-01-21,PEOPLESINS,16.3,17.4
29496,2016-01-20,PEOPLESINS,17.4,17
29497,2016-01-19,PEOPLESINS,17,16.6
29498,2016-01-18,PEOPLESINS,16.6,16.9
29499,2016-01-17,PEOPLESINS,16.9,16.3
29500,2016-01-14,PEOPLESINS,16.3,16
29501,2016-01-13,PEOPLESINS,16,15.3
29502,2016-01-12,PEOPLESINS,15.3,15.6
29503,2016-01-11,PEOPLESINS,15.6,15.7
29504,2016-01-10,PEOPLESINS,15.7,15.7
29505,2016-01-07,PEOPLESINS,15.7,15.8
29506,2016-01-06,PEOPLESINS,15.8,15.9
29507,2016-01-05,PEOPLESINS,15.9,15.8
29508,2016-01-04,PEOPLESINS,15.8,15.5
29509,2016-01-03,PEOPLESINS,15.5,16
29510,2016-06-30,PF1STMF,4.8,4.7
29511,2016-06-29,PF1STMF,4.7,4.6
29512,2016-06-28,PF1STMF,4.6,4.7
29513,2016-06-27,PF1STMF,4.7,4.6
29514,2016-06-26,PF1STMF,4.6,4.6
29515,2016-06-23,PF1STMF,4.6,4.5
29516,2016-06-22,PF1STMF,4.5,4.5
29517,2016-06-21,PF1STMF,4.5,4.5
29518,2016-06-20,PF1STMF,4.5,4.5
29519,2016-06-19,PF1STMF,4.5,4.5
29520,2016-06-16,PF1STMF,4.5,4.5
29521,2016-06-15,PF1STMF,4.5,4.5
29522,2016-06-14,PF1STMF,4.5,4.4
29523,2016-06-13,PF1STMF,4.4,4.4
29524,2016-06-12,PF1STMF,4.4,4.4
29525,2016-06-09,PF1STMF,4.4,4.4
29526,2016-06-08,PF1STMF,4.4,4.3
29527,2016-06-07,PF1STMF,4.3,4.3
29528,2016-06-06,PF1STMF,4.3,4.4
29529,2016-06-05,PF1STMF,4.4,4.4
29530,2016-06-02,PF1STMF,4.4,4.4
29531,2016-06-01,PF1STMF,4.4,4.3
29532,2016-05-31,PF1STMF,4.3,4.3
29533,2016-05-30,PF1STMF,4.3,4.3
29534,2016-05-29,PF1STMF,4.3,4.3
29535,2016-05-26,PF1STMF,4.3,4.2
29536,2016-05-25,PF1STMF,4.2,4.3
29537,2016-05-24,PF1STMF,4.3,4.3
29538,2016-05-22,PF1STMF,4.3,4.3
29539,2016-05-19,PF1STMF,4.3,4.2
29540,2016-05-18,PF1STMF,4.2,4.2
29541,2016-05-17,PF1STMF,4.2,4.2
29542,2016-05-16,PF1STMF,4.2,4.1
29543,2016-05-15,PF1STMF,4.1,4.2
29544,2016-05-12,PF1STMF,4.2,4.1
29545,2016-05-11,PF1STMF,4.1,4.1
29546,2016-05-10,PF1STMF,4.1,4.2
29547,2016-05-09,PF1STMF,4.2,4.2
29548,2016-05-08,PF1STMF,4.2,4.2
29549,2016-05-05,PF1STMF,4.2,4.2
29550,2016-05-04,PF1STMF,4.2,4.2
29551,2016-05-03,PF1STMF,4.2,4.2
29552,2016-05-02,PF1STMF,4.2,4.2
29553,2016-04-28,PF1STMF,4.2,4.1
29554,2016-04-27,PF1STMF,4.1,4.2
29555,2016-04-26,PF1STMF,4.2,4.1
29556,2016-04-25,PF1STMF,4.1,4.1
29557,2016-04-24,PF1STMF,4.1,4.1
29558,2016-04-21,PF1STMF,4.1,4.3
29559,2016-04-20,PF1STMF,4.3,4.2
29560,2016-04-19,PF1STMF,4.2,4.3
29561,2016-04-18,PF1STMF,4.3,4.3
29562,2016-04-17,PF1STMF,4.3,4.3
29563,2016-04-13,PF1STMF,4.3,4.3
29564,2016-04-12,PF1STMF,4.3,4.4
29565,2016-04-11,PF1STMF,4.4,4.5
29566,2016-04-10,PF1STMF,4.5,4.5
29567,2016-04-07,PF1STMF,4.5,4.5
29568,2016-04-06,PF1STMF,4.5,4.5
29569,2016-04-05,PF1STMF,4.5,4.5
29570,2016-04-04,PF1STMF,4.5,4.4
29571,2016-04-03,PF1STMF,4.4,4.3
29572,2016-03-31,PF1STMF,4.3,4.3
29573,2016-03-30,PF1STMF,4.3,4.3
29574,2016-03-29,PF1STMF,4.3,4.3
29575,2016-03-28,PF1STMF,4.3,4.2
29576,2016-03-27,PF1STMF,4.2,4.2
29577,2016-03-24,PF1STMF,4.2,4.2
29578,2016-03-23,PF1STMF,4.2,4.2
29579,2016-03-22,PF1STMF,4.2,4.3
29580,2016-03-21,PF1STMF,4.3,4.2
29581,2016-03-20,PF1STMF,4.2,4.2
29582,2016-03-16,PF1STMF,4.2,4.2
29583,2016-03-15,PF1STMF,4.2,4.3
29584,2016-03-14,PF1STMF,4.3,4.4
29585,2016-03-13,PF1STMF,4.4,4.4
29586,2016-03-10,PF1STMF,4.4,4.2
29587,2016-03-09,PF1STMF,4.2,4.3
29588,2016-03-08,PF1STMF,4.3,4.2
29589,2016-03-07,PF1STMF,4.2,4.2
29590,2016-03-06,PF1STMF,4.2,4.2
29591,2016-03-03,PF1STMF,4.2,4.2
29592,2016-03-02,PF1STMF,4.2,4.3
29593,2016-03-01,PF1STMF,4.3,4.3
29594,2016-02-29,PF1STMF,4.3,4.3
29595,2016-02-28,PF1STMF,4.3,4.3
29596,2016-02-25,PF1STMF,4.3,4.3
29597,2016-02-24,PF1STMF,4.3,4.3
29598,2016-02-23,PF1STMF,4.3,4.3
29599,2016-02-22,PF1STMF,4.3,4.3
29600,2016-02-18,PF1STMF,4.3,4.3
29601,2016-02-17,PF1STMF,4.3,4.3
29602,2016-02-16,PF1STMF,4.3,4.3
29603,2016-02-15,PF1STMF,4.3,4.4
29604,2016-02-14,PF1STMF,4.4,4.3
29605,2016-02-11,PF1STMF,4.3,4.4
29606,2016-02-10,PF1STMF,4.4,4.3
29607,2016-02-09,PF1STMF,4.3,4.3
29608,2016-02-08,PF1STMF,4.3,4.3
29609,2016-02-07,PF1STMF,4.3,4.3
29610,2016-02-04,PF1STMF,4.3,4.4
29611,2016-02-03,PF1STMF,4.4,4.4
29612,2016-02-02,PF1STMF,4.4,4.4
29613,2016-02-01,PF1STMF,4.4,4.3
29614,2016-01-31,PF1STMF,4.3,4.4
29615,2016-01-28,PF1STMF,4.4,4.4
29616,2016-01-27,PF1STMF,4.4,4.4
29617,2016-01-26,PF1STMF,4.4,4.5
29618,2016-01-25,PF1STMF,4.5,4.5
29619,2016-01-24,PF1STMF,4.5,4.5
29620,2016-01-21,PF1STMF,4.5,4.5
29621,2016-01-20,PF1STMF,4.5,4.6
29622,2016-01-19,PF1STMF,4.6,4.6
29623,2016-01-18,PF1STMF,4.6,4.6
29624,2016-01-17,PF1STMF,4.6,4.4
29625,2016-01-14,PF1STMF,4.4,4.3
29626,2016-01-13,PF1STMF,4.3,4.3
29627,2016-01-12,PF1STMF,4.3,4.3
29628,2016-01-11,PF1STMF,4.3,4.3
29629,2016-01-10,PF1STMF,4.3,4.2
29630,2016-01-07,PF1STMF,4.2,4.3
29631,2016-01-06,PF1STMF,4.3,4.2
29632,2016-01-05,PF1STMF,4.2,4.2
29633,2016-01-04,PF1STMF,4.2,4.2
29634,2016-01-03,PF1STMF,4.2,4.2
29635,2016-06-30,PHARMAID,218,216.1
29636,2016-06-29,PHARMAID,216.1,215.5
29637,2016-06-28,PHARMAID,215.5,214.8
29638,2016-06-27,PHARMAID,214.8,215.6
29639,2016-06-26,PHARMAID,215.6,216.1
29640,2016-06-23,PHARMAID,216.1,215.9
29641,2016-06-22,PHARMAID,215.9,217.8
29642,2016-06-21,PHARMAID,217.8,216.6
29643,2016-06-20,PHARMAID,216.6,217
29644,2016-06-19,PHARMAID,217,217.9
29645,2016-06-16,PHARMAID,217.9,216.6
29646,2016-06-15,PHARMAID,216.6,217.1
29647,2016-06-14,PHARMAID,217.1,217.7
29648,2016-06-13,PHARMAID,217.7,218.7
29649,2016-06-12,PHARMAID,218.7,219.7
29650,2016-06-09,PHARMAID,219.7,219.9
29651,2016-06-08,PHARMAID,219.9,220
29652,2016-06-07,PHARMAID,220,222.1
29653,2016-06-06,PHARMAID,222.1,221.9
29654,2016-06-05,PHARMAID,221.9,223.7
29655,2016-06-02,PHARMAID,223.7,221.5
29656,2016-06-01,PHARMAID,221.5,222.9
29657,2016-05-31,PHARMAID,222.9,223.6
29658,2016-05-30,PHARMAID,223.6,223.4
29659,2016-05-29,PHARMAID,223.4,226.1
29660,2016-05-26,PHARMAID,226.1,223.1
29661,2016-05-25,PHARMAID,223.1,221.9
29662,2016-05-24,PHARMAID,221.9,220.6
29663,2016-05-22,PHARMAID,220.6,221.6
29664,2016-05-19,PHARMAID,221.6,220
29665,2016-05-18,PHARMAID,220,218.2
29666,2016-05-17,PHARMAID,218.2,219.4
29667,2016-05-16,PHARMAID,219.4,217.8
29668,2016-05-15,PHARMAID,217.8,219.4
29669,2016-05-12,PHARMAID,219.4,219.7
29670,2016-05-11,PHARMAID,219.7,220.8
29671,2016-05-10,PHARMAID,220.8,220.6
29672,2016-05-09,PHARMAID,220.6,220.8
29673,2016-05-08,PHARMAID,220.8,220.2
29674,2016-05-05,PHARMAID,220.2,217.9
29675,2016-05-04,PHARMAID,217.9,221.6
29676,2016-05-03,PHARMAID,221.6,219.3
29677,2016-05-02,PHARMAID,219.3,220.1
29678,2016-04-28,PHARMAID,220.1,221.9
29679,2016-04-27,PHARMAID,221.9,225.8
29680,2016-04-26,PHARMAID,225.8,232.4
29681,2016-04-25,PHARMAID,232.4,233
29682,2016-04-24,PHARMAID,233,234.6
29683,2016-04-21,PHARMAID,234.6,225.3
29684,2016-04-20,PHARMAID,225.3,225.1
29685,2016-04-19,PHARMAID,225.1,228.5
29686,2016-04-18,PHARMAID,228.5,228.7
29687,2016-04-17,PHARMAID,228.7,219.6
29688,2016-04-13,PHARMAID,219.6,221.4
29689,2016-04-12,PHARMAID,221.4,219.4
29690,2016-04-11,PHARMAID,219.4,218.9
29691,2016-04-10,PHARMAID,218.9,220.8
29692,2016-04-07,PHARMAID,220.8,218.6
29693,2016-04-06,PHARMAID,218.6,221.6
29694,2016-04-05,PHARMAID,221.6,223.6
29695,2016-04-04,PHARMAID,223.6,223.4
29696,2016-04-03,PHARMAID,223.4,224.6
29697,2016-03-31,PHARMAID,224.6,224.6
29698,2016-03-30,PHARMAID,224.6,223.5
29699,2016-03-29,PHARMAID,223.5,222.6
